account_id,customer_id,is_active,open_date,fraud
AC3262,CU1822,True,2016-03-20,false
AC3719,CU0553,True,2016-04-23,false
AC2924,CU1531,True,2016-12-03,false
AC4940,CU5318,True,2017-09-07,false
AC0816,CU1467,True,2018-03-02,false
AC3055,CU0174,True,2018-03-13,false
AC0995,CU1089,True,2018-04-13,false
AC1785,CU2667,True,2018-05-04,false
AC0387,CU4560,True,2018-07-24,false
AC0970,CU0521,True,2018-09-25,false
AC3816,CU5181,True,2018-10-02,false
AC1740,CU2379,True,2018-12-05,false
AC0134,CU5277,True,2019-03-02,false
AC2597,CU0170,True,2019-05-19,false
AC4696,CU3366,True,2019-05-25,false
AC1350,CU0309,True,2019-06-07,false
AC1297,CU4645,True,2019-08-06,false
AC1266,CU0322,True,2019-09-13,false
AC3581,CU1466,True,2019-10-21,false
AC4422,CU2102,True,2019-12-26,false
AC4967,CU0429,True,2020-01-30,false
AC0173,CU5048,True,2020-03-20,false
AC4136,CU2685,True,2020-07-07,false
AC2228,CU3364,True,2020-08-09,false
AC0793,CU0933,True,2021-01-15,false
AC1102,CU3775,True,2021-04-11,false
AC1232,CU3677,True,2021-06-15,false
AC4637,CU2508,True,2021-10-12,generic
AC1479,CU2220,True,2021-09-08,false
AC0741,CU3666,True,2021-09-15,false
AC4895,CU3210,True,2021-11-10,false
AC0563,CU0733,True,2021-12-21,false
AC5103,CU1829,True,2022-05-21,false
AC4394,CU4470,True,2022-06-25,false
AC0488,CU5204,True,2022-10-26,false
AC5326,CU5100,True,2022-12-09,false
AC1379,CU1152,True,2023-01-18,false
AC3135,CU4772,True,2022-12-28,false
AC0405,CU2311,True,2023-01-10,generic
AC4521,CU0202,True,2023-05-20,false
AC4632,CU0377,True,2023-04-13,false
AC0855,CU1991,True,2023-10-07,false
AC4969,CU1020,True,2023-10-02,false
AC1341,CU0473,True,2023-10-08,false
AC4638,CU5160,True,2023-12-09,false
AC2614,CU4846,False,2024-06-12,false
AC4442,CU3470,True,2024-05-24,false
AC4285,CU2319,True,2024-10-03,false
AC0373,CU1646,True,2024-10-17,phishing
AC3730,CU1398,True,2025-03-18,false
AC5176,CU0416,True,2025-02-26,false
AC0867,CU3606,True,2025-04-21,false
AC2013,CU3055,True,2022-08-21,false
AC0493,CU1996,True,2023-08-09,false
AC1959,CU4538,True,2023-11-18,false
AC1880,CU4541,True,2024-03-08,false
AC4727,CU0430,True,2024-04-27,false
AC0655,CU4934,True,2019-09-21,generic
AC3678,CU5260,True,2020-01-20,false
AC3776,CU3349,True,2020-01-05,false
AC4109,CU1431,True,2020-03-03,false
AC0755,CU5022,True,2020-01-22,false
AC5332,CU3109,True,2020-02-27,false
AC0465,CU1652,True,2020-04-07,false
AC0804,CU4213,True,2020-06-29,false
AC2463,CU4825,True,2020-06-29,false
AC4052,CU5293,True,2020-06-15,false
AC1412,CU1014,True,2020-06-21,false
AC3463,CU2430,True,2020-06-23,false
AC4759,CU4357,True,2020-06-30,false
AC3680,CU3507,True,2020-04-19,false
AC0857,CU0855,True,2020-04-23,false
AC5221,CU4254,True,2020-05-26,false
AC4334,CU2391,True,2020-07-18,false
AC0517,CU2742,True,2020-06-10,false
AC0545,CU4738,True,2020-06-09,false
AC1219,CU3972,True,2020-06-04,false
AC2099,CU1701,True,2020-07-16,generic
AC5134,CU2833,True,2020-07-31,false
AC3880,CU4802,True,2020-06-04,false
AC4142,CU3231,True,2020-06-30,false
AC4569,CU0665,True,2020-05-20,false
AC3934,CU2861,True,2020-07-10,false
AC3999,CU3323,True,2020-06-23,false
AC2713,CU0157,True,2020-07-12,false
AC3246,CU4542,True,2020-05-28,false
AC3356,CU3230,False,2020-07-15,false
AC2842,CU0917,True,2020-05-14,false
AC4661,CU3074,True,2020-06-30,false
AC2679,CU1404,True,2020-05-28,false
AC4326,CU0303,True,2020-07-21,false
AC0442,CU5005,True,2020-07-20,false
AC1719,CU3271,True,2020-07-06,false
AC4968,CU0271,True,2020-07-28,false
AC3751,CU3222,True,2020-07-31,false
AC3176,CU0108,True,2020-05-24,false
AC1804,CU1669,True,2020-06-08,false
AC4590,CU2674,True,2020-06-26,false
AC1920,CU1309,False,2020-07-15,false
