card_id,fraud,customer_id,account_id,is_active,product_type,first_usage_date,expiry_date
CA1905,false,CU1625,AC0832,True,standard,2022-01-28,2029-09-07
CA3951,false,CU0185,AC3876,True,standard,2017-05-27,2026-06-22
CA3397,false,CU5166,AC4419,True,standard,2022-11-10,2030-06-19
CA0120,false,CU5104,AC3147,True,standard,2021-10-31,2029-07-19
CA0882,false,CU2207,AC0585,True,standard,2021-01-20,2029-02-06
CA1542,false,CU4626,AC3655,True,standard,2017-02-02,2026-01-28
CA1336,false,CU1039,AC2719,True,standard,2020-02-20,2026-02-12
CA4467,false,CU4968,AC3054,True,standard,2021-04-01,2029-03-24
CA4238,generic,CU0109,AC1998,False,standard,2021-02-10,2029-01-24
CA2779,false,CU3669,AC4176,True,standard,2023-12-12,2029-03-25
CA3531,false,CU4277,AC3659,True,standard,2016-09-16,2030-09-04
CA1628,generic,CU3667,AC3113,False,standard,2022-10-30,2025-11-19
CA2639,false,CU5338,AC2035,True,standard,2021-03-02,2029-03-01
CA4827,false,CU4900,AC0332,True,standard,2017-03-15,2026-03-13
CA3758,false,CU3046,AC3372,True,standard,2021-05-02,2029-05-18
CA5209,false,CU1206,AC0268,True,standard,2018-12-11,2029-08-11
CA4022,false,CU0576,AC0148,True,standard,2017-03-10,2026-04-06
CA5023,generic,CU2314,AC4379,False,standard,2024-02-23,2026-01-19
CA4639,false,CU2181,AC4314,True,standard,2022-06-10,2026-05-05
CA3431,phishing,CU1654,AC3733,False,standard,2022-09-09,2026-01-14
CA2664,false,CU0508,AC3403,True,standard,2024-01-04,2026-04-05
CA0412,false,CU3822,AC2797,True,standard,2023-10-27,2025-11-03
CA4697,false,CU0558,AC3633,True,standard,2017-12-14,2026-12-28
CA4296,false,CU0622,AC3358,True,standard,2023-02-01,2025-12-16
CA0879,false,CU0481,AC4027,True,standard,2021-03-31,2029-03-31
CA1072,false,CU5006,AC0835,True,standard,2021-08-25,2029-09-24
CA2932,false,CU2505,AC1135,True,standard,2022-12-16,2030-06-19
CA4510,generic,CU3955,AC4511,False,standard,2023-08-27,2026-06-28
CA3488,generic,CU0828,AC4366,True,standard,2018-07-03,2029-07-01
