merchant_id,merchant_group
ME034,Hotels and Motels
ME375,Hotels and Motels
ME265,Hotels and Motels
ME139,Hotels and Motels
ME014,Hotels and Motels
ME075,Hotels and Motels
ME238,Hotels and Motels
ME121,Hotels and Motels
ME213,Service Providers
ME030,Service Providers
ME261,Personal Service Providers
ME343,Personal Service Providers
ME342,Personal Service Providers
ME036,Personal Service Providers
ME334,Personal Service Providers
ME207,Personal Service Providers
ME340,Personal Service Providers
ME170,Personal Service Providers
ME134,Personal Service Providers
ME307,Personal Service Providers
ME267,Personal Service Providers
ME141,Personal Service Providers
ME182,Personal Service Providers
ME222,Personal Service Providers
ME186,Personal Service Providers
ME374,Personal Service Providers
ME026,Business Services
ME000,Business Services
ME012,Business Services
ME360,Business Services
ME145,Business Services
ME097,Business Services
ME319,Business Services
ME098,Wholesale Distributors and Manufacturers
ME092,Wholesale Distributors and Manufacturers
ME284,Wholesale Distributors and Manufacturers
ME071,Airlines
ME270,Airlines
ME160,Airlines
ME276,Airlines
ME256,Airlines
ME058,Airlines
ME146,Airlines
ME309,Airlines
ME027,Airlines
ME045,Airlines
ME327,Airlines
ME370,Airlines
ME329,Airlines
ME355,Airlines
ME084,Airlines
ME039,Airlines
ME176,Airlines
ME212,Airlines
ME112,Airlines
ME305,Hotels and Motels
ME321,Hotels and Motels
ME099,Hotels and Motels
ME172,Hotels and Motels
ME348,Hotels and Motels
ME080,Hotels and Motels
ME147,Transportation
ME157,Transportation
ME003,Transportation
ME215,Transportation
ME010,Transportation
ME102,Transportation
ME041,Transportation
ME214,Transportation
ME048,Transportation
ME083,Transportation
ME165,Transportation
ME054,Transportation
ME231,Transportation
ME086,Transportation
ME372,Transportation
ME142,Transportation
ME365,Airlines
ME299,Airlines
ME109,Airlines
ME197,Airlines
ME279,Airlines
ME275,Airlines
ME269,Airlines
ME202,Airlines
ME368,Airlines
ME162,Airlines
ME013,Airlines
ME091,Airlines
ME046,Airlines
ME040,Airlines
ME089,Airlines
ME223,Airlines
ME006,Airlines
ME229,Airlines
ME292,Airlines
ME053,Airlines
ME209,Airlines
ME217,Airlines
ME225,Airlines
ME227,Airlines
ME304,Airlines
ME011,Hotels and Motels
ME023,Hotels and Motels
ME069,Hotels and Motels
ME337,Hotels and Motels
ME029,Hotels and Motels
ME184,Hotels and Motels
ME144,Transportation
ME285,Transportation
ME161,Utilities
ME127,Utilities
