customer_id,address_valid_from,age_cat,gender,city,country
CU3666,2021-08-16,50-59,male,Other,CH
CU1996,2007-03-28,60+,male,Zurich,CH
CU2319,2013-08-06,60+,male,Zurich,CH
CU5100,2017-08-06,60+,male,Lugano,CH
CU4772,2007-09-24,60+,male,Zurich,CH
CU1020,2017-12-13,60+,female,Other,CH
CU2102,2016-02-14,40-49,male,Zurich,CH
CU1822,2016-12-15,30-39,female,Other,CH
CU0553,2016-05-22,30-39,male,Zurich,CH
CU0430,2021-04-11,30-39,male,Other,CH
CU1531,2018-03-12,40-49,female,Zurich,CH
CU5318,2022-12-29,30-39,female,Zurich,CH
CU1467,2018-02-02,50-59,male,Zurich,CH
CU0174,2021-01-28,40-49,male,Zurich,CH
CU1089,2018-03-26,60+,male,Other,CH
CU2667,2018-07-31,18-29,female,Zurich,CH
CU4560,2020-02-08,40-49,male,Zurich,CH
CU0521,2024-11-01,18-29,female,Lucerne,CH
CU5181,2021-12-08,30-39,male,Zurich,CH
CU2379,2019-02-01,60+,male,Zurich,CH
CU5277,2020-06-10,40-49,male,Winterthur,CH
CU0170,2019-03-19,50-59,female,Zurich,CH
CU3366,2019-04-26,60+,male,Zurich,CH
CU0309,2024-03-31,30-39,male,Other,CH
CU4645,2019-08-18,50-59,male,Bern,CH
CU4124,2019-06-30,40-49,male,Zurich,CH
CU0322,2019-10-05,40-49,male,Lugano,CH
CU1466,2019-11-07,50-59,male,Lucerne,CH
CU0429,2021-10-18,50-59,male,Zurich,CH
CU5048,2021-06-07,30-39,male,Zurich,CH
CU4541,2021-01-14,18-29,male,Lausanne,CH
CU2685,2020-06-24,50-59,male,Zurich,CH
CU3364,2022-11-26,30-39,male,Other,CH
CU1152,2020-11-27,60+,male,Zurich,CH
CU0933,2021-01-15,50-59,male,Zurich,CH
CU3775,2021-04-27,30-39,female,Zurich,CH
CU3677,2021-08-19,50-59,female,Zurich,CH
CU2508,2021-10-06,18-29,male,Other,CH
CU2220,2023-01-25,60+,male,Zurich,CH
CU3210,2022-01-01,30-39,male,Lugano,CH
CU0733,2021-12-17,60+,female,Zurich,CH
CU1829,2023-01-14,30-39,male,Bern,CH
CU4470,2022-08-19,30-39,male,Zurich,CH
CU4538,2022-09-11,60+,male,Zurich,CH
CU3055,2023-04-03,30-39,male,Lausanne,CH
CU5204,2022-10-21,30-39,male,Zurich,CH
CU1277,2022-11-28,60+,male,Lausanne,CH
CU4017,2023-03-02,40-49,male,Zurich,CH
CU2311,2023-03-18,18-29,male,Lucerne,CH
CU0202,2023-05-03,40-49,male,Bern,CH
CU0377,2023-04-30,40-49,female,Bern,CH
CU1991,2023-11-07,18-29,male,Lucerne,CH
CU0473,2023-10-05,60+,male,Basel,CH
CU5160,2023-10-26,30-39,female,Other,CH
CU4846,2024-06-18,50-59,male,Zurich,CH
CU3470,2024-06-16,50-59,female,Zurich,CH
CU1646,2024-10-05,60+,male,Zurich,CH
CU1398,2025-02-25,30-39,male,Lausanne,CH
CU0416,2025-02-23,40-49,female,Zurich,CH
CU3606,2025-05-14,40-49,female,Zurich,CH
CU4934,2020-08-26,30-39,male,Other,CH
CU5260,2021-06-28,60+,male,Zurich,CH
CU3349,2020-01-29,60+,male,Bern,CH
CU1431,2019-12-28,60+,male,Bern,CH
CU5022,2024-11-20,40-49,female,Bern,CH
CU3109,2020-01-01,60+,female,Lucerne,CH
CU1652,2020-05-30,40-49,female,Other,CH
CU4213,2021-11-10,40-49,female,Zurich,CH
CU4825,2020-04-09,50-59,female,Lausanne,CH
CU5293,2020-04-14,60+,male,Lucerne,CH
